sentence,sentiment,topic,is_augmented
"thầy nhiệt tình , vui vẻ , giảng dạy kỹ những phần quan trọng .",2,0,False
"thực hành nhiều , làm bài tại lớp càng nhiều càng tốt , đưa ra nhiều ví dụ về nhiều trường hợp và một số trường hợp phát sinh .",0,1,False
cô dạy rất vui vẻ .,2,0,False
"Bài giảng được trình bày rất chi tiết, dễ hiểu.",2,1,True
dạy nhiều kiến thức ngoài hữu ích .,2,0,False
"cô giáo thân thiện , giảng dạy nhiệt tình dễ hiểu và vui tính .",2,0,False
sự nhiệt tình của giảng viên trong quá trình giảng dạy .,2,0,False
"cách truyền đạt kiến thức của thầy đối với em thì em cảm thấy không phù hợp lắm , em cần phải rất rất tập trung và hỏi đi hỏi lại nhiều lần mới có thể nắm bắt kiến thức .",0,0,False
thầy nên up các tài liệu và slide lên moodle rõ ràng hơn .,0,0,False
không nhiệt tình giải đáp thắc mắc .,0,0,False
"Học phòng elab rộng mênh mông làm sv bị phân tán, gv khó nói chuyện trực tiếp.",0,2,True
giáo viên nhiệt tình hòa đồng .,2,0,False
"hầu hết các môn học đều rất trầm , đa số sinh viên chi đến lớp cho đủ buôi , thầy cô bảo đảm giờ dạy trên lớp nhưng không tạo được cao trào cho buổi học .",0,0,False
"thầy dạy tận tâm , giúp đỡ sinh viên hết sức .",2,0,False
không đúng giờ .,0,0,False
Cần nâng cấp cơ sở vật chất.,0,2,True
Em cảm ơn ạ.,1,3,True
"Slide bài giảng hơi khô khan, chưa giúp lớp có hứng thú học cao.",0,1,True
"thầy dạy hay , tuy nhiên còn nhiều chỗ chưa thật sự giải đáp hoàn toàn cho sinh viên vì chưa đủ thời gian .",2,0,False
"giảng viên tận tình , sử dụng giờ dạy hợp lý .",2,0,False
"Mong gv có thêm pp mới để sv hiểu bài hơn, sâu hơn.",0,1,True
cô dạy rất nhiệt tình và hay .,2,0,False
"tận tâm trong giảng dạy , không phiền hay trách khi sinh viên không nhớ kiến thức cũ .",2,0,False
"những phần trọng tâm bài tập thì cũng không nói được "" đây là phần quan trọng có trong đề thi các em cần chú ý "" .",0,1,False
Thiếu ổ cắm điện trầm trọng ở các phòng học.,0,2,True
phong cách dạy hiệu quả .,2,0,False
"giảng viên lên lớp đúng giờ , các buổi bù đều hợp lý , giảng bài nghiêm túc , có kiểm tra quá trình , bài tập về nhà .",2,0,False
"Nội dung môn học có nhiều cái mới mẻ, rất hay.",2,1,True
đưa ra ví dụ nhiều hơn ngoài slide .,0,0,False
Tín chỉ thực hành kiểu 2 đắt hơn mà buổi học lại ít đi.,0,1,True
"thầy rất nhiệt tình , kiến thức uyên bác , chuyên sâu .",2,0,False
giao đề tài không công bằng giữa các nhóm .,0,0,False
hy vọng trường xem xét ý kiến này của em !,0,3,False
"project môn học thầy wzjwz180 yêu cầu làm ở mức độ tìm hiểu , nhưng lúc lên báo với thầy wzjwz181 thì thầy không chấp nhận .",0,0,False
Không có đủ đồ dùng để sv thực hành.,0,2,True
thực hành quá khó hầu như chưa sinh viên nào có kinh nghiệm lại đi cho một dự án rồi tự sinh viên làm thử hỏi sao sinh viên có thể làm được .,0,1,False
Môn học này cần thêm nhiều buổi thực hành và training.,0,1,True
"Trên lớp thì ko dạy tính toán gì mấy, về nhà thì BTVN, deadline, kiểm tra 15p... quá nhiều luôn.",0,1,True
giảng lý thuyết hơi khó hiểu .,0,0,False
giảng viên và sinh viên sử dụng hai ngôn ngữ lập trình khác nhau trong quá trình học và cả hai phía đều không biết đủ về ngôn ngữ khác nên gây rất nhiều khó khăn trong quá trình học .,0,0,False
cô dạy truyền cảm .,2,0,False
giáo viên nhiệt tình tận tụy với sinh viên .,2,0,False
tăng cường chất lượng phòng học .,0,2,False
thầy dạy rất tốt và nhiệt tình .,2,0,False
thầy giảng bài không sát với đề thi .,0,0,False
Cần có thêm thời gian cho môn học.,0,1,True
"em thấy nó rất cần thiết sau này , em đề nghị với văn phòng chương trình đặc biệt năm sau lại tiếp tục mời thầy về dạy .",0,1,False
lớp học hơi buồn chán .,0,0,False
Nên có thêm các mô hình thực tế để sv dễ hình dung hơn.,0,1,True
nên có nhiều bài tập hơn !,0,1,False
Giảng viên khá nghiêm túc trong việc giảng dạy.,1,0,True
lên lớp cô không giảng gì cả chỉ để học sinh tự ngồi code .,0,0,False
cô rất nghiêm túc colonsad .,0,0,False
thầy cho nhiều bài tập với số lượng lớn .,2,0,False
"Nội dung môn học rất cập nhật, kiến thức mới mẻ, rất hay ạ.",2,1,True
rất hiểu tâm lý các bạn sinh viên ngoài ra còn có những giờ học thật sự thú vị .,2,0,False
thầy cho bài thực hành rất xác thực tế .,2,0,False
Em thấy chương trình học cân bằng lý thuyết và thực hành rất tốt ạ.,2,1,True
có phương phát giảng dạy dễ hiểu .,2,0,False
"tháng học môn kiến trúc máy tính 4 ngày , nghỉ 3 ngày , bù trùng lịch 3 môn không học được rớt tốn tiền .",0,1,False
có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,0,False
có một lần cúp điện cô không dùng slide để giảng bài em thấy dễ hiểu hơn nhiều .,1,0,False
truyền đạt dễ hiểu chi tiết .,2,0,False
em hoàn toàn hài lòng về phương pháp giảng dạy của cô .,2,0,False
giảng viên tâm huyết .,2,0,False
giảng dạy rất tận tình .,2,0,False
hướng dẫn cụ thể hơn .,0,0,False
Nhờ đó mà em biết thêm nhiều điều mới.,2,3,True
"nội dung lan man , khó áp dụng vào thực tế .",0,1,False
"Đã đến lúc cần nâng cấp thiết bị phòng máy rồi, nhiều máy giờ ko chạy nổi.",0,2,True
em đề nghị đổi phòng học .,0,2,False
nội dung hơi khó hiểu .,0,1,False
"phương pháp dạy của cô đạt hiệu quả với sinh viên yếu , kém nhưng lại nhàm chán , tốn khá nhiều thời gian cho sinh viên học mức khá giỏi trở lên , kiến thức mới ngoài giáo trình mạng lại chưa nhiều , gần như không .",0,0,False
Cơ sở vật chất phòng lab rất tốt.,2,2,True
các dùng từ ngữ của giảng viên có hơi khó hiểu nên thỉnh thoảng giảng bài làm sinh viên bối rối và không hiểu được nội dung bài học .,0,0,False
Hình thức thi nên là ra đề chứ không phải kiểu khác.,0,1,True
nên cung cấp thêm tài liệu và bài tập cho sinh viên .,0,1,False
"Bài tập được phân bổ rất hợp lý, không bị quá tải.",2,1,True
vậy là được .,2,3,False
tạo ra sự ganh đua trong mỗi buổi thực hành .,0,0,False
thầy nên cho bài tập môn hệ điều hành nhiều hơn nữa .,0,0,False
"mạng wifi thì không vào được , mạng dây thì cột chặt vào pc .",0,2,False
"giảng bài chi tiết , cụ thể .",2,0,False
Mấy buổi TH (thực hành) học kì 2 không được thông báo rõ ràng cho sv.,0,1,True
"Phòng máy cũ quá, xài chán ghê.",0,2,True
Nên rút gọn kiến thức trong môn học lại bớt thì tốt hơn.,0,1,True
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,0,False
cho học sinh tích cực thuyết trình bằng tiếng anh .,2,0,False
giảng viên dạy rất hay .,2,0,False
"cảm ơn thầy , thầy rất tuyệt vời , mong thầy tiếp tục giữ lửa cho khóa sau .",2,0,False
"giảm tải bớt lý thuyết và nên đưa các ví dụ thực tiễn vào nội dung giảng dạy giúp sinh viên định hướng được nội dung , mục đích và cách áp dụng môn học vào nghề nghiệp sau khi ra trường .",0,1,False
"dễ hiểu , dễ tiếp thu .",2,0,False
em chỉ có ý kiến là các trang thiết bị trong các phòng học anh văn như vậy là chưa đảm bảo .,0,2,False
thầy cũng nên soạn slide bài giảng để chiếu trên lớp như thế sẽ đỡ tốn thời gian thầy ghi chép trên bảng rất nhiều .,0,0,False
giảng hơi ít .,0,0,False
môn học cung cấp nhiều kiến thức bổ ích .,2,1,False
giảng viên nói tiếng anh khó nghe .,0,0,False
"Phòng lab thực hành tệ ghê, máy yếu, màn hình CRT cũ rích. Trường CNTT mà vậy thì nản lắm.",0,2,True
thầy thiện nhiệt tình .,2,0,False
slide trình chiếu đã quá cũ không cập nhật thông tin mới .,0,1,False
cái cần đi sâu phân tích nhưng do thời gian và lịch đưa ra nên đành bỏ qua dạy cái mới để kịp chương trình .,0,1,False
hy vọng nhà trường xem xét .,1,3,False
sự thân thiện và tận tình đối với học viên .,2,3,False
"phần thực hành , chúng em không được hướng dẫn đủ .",0,1,False
"thầy dạy rất dễ hiểu , bài tập nhiều .",2,0,False
nội dung cần cập nhật và sát với thực tiễn hơn .,0,1,False
cần cho bài tập lời giải mẫu nhiều hơn .,0,0,False
cô giáo nhiệt tình giảng bài tốt .,2,0,False
Phần thực hành hơi khó hiểu ạ.,0,1,True
"Nên update tài liệu môn học, tập trung vào kiến thức cốt lõi thôi ạ.",0,1,True
Em nghĩ mấy môn học nên có đồ án để sv được thực hành nhiều hơn.,0,1,True
tâm sự của một đứa sinh viên bị thầy đánh rớt .,1,0,False
cô giảng hay dễ hiểu .,2,0,False
Mong trường nâng cấp máy tính cho các phòng thực hành.,0,2,True
"Rất thích cách gv lồng ghép thực tế vào bài giảng, giúp sv dễ hình dung sau này làm gì.",2,1,True
"Phòng lab tệ quá, máy móc hỏng lên hỏng xuống không dùng được.",0,2,True
có tương tác tốt với sinh viên .,2,0,False
"nên sử dụng giáo trình tiếng việt , nếu dùng tiếng anh thì nên dùng lúc ra đề luôn , tránh trường hợp anh việt lẫn lộn .",0,1,False
"Máy tính vs kit DE2 ở phòng lab lỗi liên tục, nên thay mới hoặc sửa chữa đi ạ.",0,2,True
Mong có phòng học và trang thiết bị tốt hơn.,0,2,True
hướng dẫn tận tình !,2,0,False
"phong cách giảng dạy hay , lôi cuốn .",2,0,False
"dạy dễ hiểu , ân cần .",2,0,False
đa phần sinh viên không tập trung học nhiệt tình nên không theo kịp .,0,3,False
"Hồ bơi của trường nhìn ghê quá, toàn rêu với cặn bẩn.",0,2,True
Moodle cần được update thêm bài tập và thông tin môn học.,0,1,True
thêm nhiều bài tập hơn .,0,1,False
cô chỉ dạy lý thuyết một cách cứng nhắc .,0,0,False
giáo viên dạy dễ hiểu .,2,0,False
giảng viên thường xuyên quan tâm tới sinh viên .,2,0,False
"Rất mong PĐT sắp xếp để thầy wzjwz128 tiếp tục dạy lớp tụi em ạ, thầy dạy hay lắm.",2,1,True
phương pháp dạy phải cụ thể chi tiết hơn .,0,0,False
nên phát hành giáo trình chuẩn cho môn học .,0,1,False
"thầy luôn đi đúng giờ , không điểm danh .",2,0,False
"Mong nhà trường cải thiện cơ sở vật chất, đặc biệt là phòng lab khoa Mạng.",0,2,True
"trình độ chuẩn tiếng anh của giảng viên đại học thực sự còn thua một giáo viên cấp 3 , phát âm sai khiến sinh viên sử dụng để giao tiếp sai !",0,0,False
"Phòng học không đủ chỗ cho sv, máy chiếu thì mờ tịt.",0,2,True
do dạy khác chuẩn coloncontemn .,1,3,False
các đường link tham khảo không đáp ứng tốt nhu cầu giải quyết vấn đề .,0,1,False
thầy tạo được sự hứng thú với môn học .,2,0,False
Sv tụi em học là để code thôi ạ.,1,1,True
không có đề cương cụ thể .,0,1,False
cách thầy truyền đạt kiến thức rất hay và dễ hiểu .,2,0,False
thầy không đến lớp mà khôg thông báo .,0,0,False
Môn này ít được thực hành kỹ năng quá.,0,1,True
Nên bổ sung thêm thiết bị để học cho hiệu quả hơn.,0,2,True
quý thầy lắm .,2,0,False
Hoàn toàn ưng ý với những gì đang có.,2,3,True
Khá ổn đó.,2,3,True
các bài lab chưa có ứng dụng thực tiễn .,0,1,False
"thầy giáo sôi nổi truyền đạt kiến thức tốt , gần gũi với học sinh , vui vẻ .",2,0,False
"Phòng học này máy chiếu kém thật, khó xem bài giảng.",0,2,True
thầy đúng giờ .,2,0,False
không sử dung tiếng anh trong lúc giảng bài lý thuyết để rồi cả slide bằng tiếng anh cũng không hiểu .,0,0,False
em nghĩ nhà trường nên kiểm tra kỹ trình độ giảng viên trước khi bố trí để họ dạy một môn học nào đó .,0,1,False
thầy cho làm các bài tập tại lớp trong khi sinh viên chưa biết gì về vấn đề đó .,0,0,False
kiểu như giáo viên chạy cho hết phân phối chương trình .,0,0,False
Nên cải thiện CSVC của phòng học/phòng máy.,0,2,True
"giảng viên dạy nhiệt tình , vui tính .",2,0,False
Nên trang bị thêm đồ mạng cho bọn e làm lab.,0,2,True
chưa tận dụng hết thời gian môn học để truyền đạt cho sinh viên còn yếu .,0,0,False
Do đang tuần thi đó.,1,3,True
nhiều việc cần xử lý .,0,0,False
hiền hậu .,2,0,False
"thầy hiền , dễ tính .",2,0,False
"cô chú trọng đến phát âm , bản chất .",2,0,False
"đảm bảo thời gian dạy , bài tập nhiều để rèn luyện .",2,0,False
giảng viên nên cũng cấp slide cho sinh viên .,0,0,False
"Mấy buổi TH cứ đi trước LT hoài, khó tiếp thu quá.",0,1,True
giảng viên có tâm huyết với việc dạy học .,2,0,False
Vấn đề là ở phong cách và thái độ của thầy giáo.,1,0,True
"giảng dạy tốt , đưa ra nhiều vấn đề cho sinh viên tham khảo .",2,0,False
Rất tuyệt vời.,2,3,True
"phương pháp giảng dạy phù hợp , lôi cuốn vào bài học .",2,0,False
"phòng lab thực hành khá cũ , nhiều máy hư gây khó khăn cho sinh viên khi thực hành .",0,2,False
"Chỗ học hơi bẩn, ảnh hưởng sức khỏe.",0,2,True
"Đi học đủ mà thấy môn này chả có gì hay ho, k hài lòng tí nào.",0,1,True
Cơ sở vật chất cần bổ sung thiết bị phục vụ môn học.,0,2,True
nhiệt tình tâm huyết giảng dạy .,2,0,False
Nội dung học cần được thống nhất rõ ràng ngay từ đầu năm.,0,1,True
"có kiến thức sâu rộng , giảng bằng tiếng anh .",2,0,False
nên để sinh viên được tự vận động áp dụng lý thuyết vào thực hành .,1,0,False
Môn này nên có nhiều tiết thực hành hơn.,0,1,True
giảng quá khó hiểu .,0,0,False
dạy ổn .,2,0,False
"thầy tận tâm , có hai tới lớp sinh viên thầy vẫn dạy .",2,0,False
chấm bài không nói lên tính khách quan .,0,1,False
thầy nên sử dụng hệ thống website môn học hiệu quả hơn .,0,0,False
"cô giảng bài không truyền cảm hứng cho sinh viên , cũng như cô không quản được lớp trong giờ seminar như vậy làm cho mục đích cho lớp seminar không đạt chất lượng .",0,0,False
thầy wzjwz227 dạy rất hay và cực kỳ dễ hiểu .,2,0,False
tiếp xúc với học sinh nhiều hơn .,0,0,False
"Kiến thức thực tiễn nhiều, rất hợp với môi trường làm việc bây giờ.",2,1,True
phân chia thời gian báo cáo chưa hợp lý .,0,0,False
"Môn học cập nhật, có nhiều tài liệu đọc thêm hay ho.",2,1,True
"không nói rõ nội dung nộp đồ án cuối kỳ là gì , cũng không nói rõ phải in báo cáo và ghi nội dung đồ án vào đĩa dvd trước ngày nộp .",0,0,False
Tiết thực hành nên tập trung vào đồ án với mấy cái mình chưa làm được thì tốt hơn.,0,1,True
Nên cho thêm tài liệu và nhiều ví dụ hơn ạ.,0,1,True
"Nội dung môn học chưa rõ ràng, ko biết cần đạt được gì.",0,1,True
"cách dạy của thầy chưa hiệu quả , nhiều lúc còn nâng đỡ một số sinh viên .",0,0,False
"Giáo trình ít quá, nội dung các môn cũng na ná nhau.",0,1,True
giúp em biết được một phần thực tế của công việc sau này .,2,3,False
"cô đi dạy đúng giờ , dạy cho sinh viên kỹ năng trình bày bài , dạy kỹ .",2,0,False
em hy vọng thầy sẽ năng động hơn .,0,0,False
Chất lượng giảng dạy cần cải thiện hơn nữa ạ.,0,1,True
"kiến thức truyền tải nhiều , khó hiểu .",0,0,False
Sv góp ý nhưng không biết có được tin tưởng hay làm theo không.,0,1,True
"chủ yếu là đọc slide , đôi khi gây khó hiểu , nhàm chán mặc dù thầy dạy rất tận tâm .",0,0,False
"4 tín chỉ học phần là quá ít cho các kiến thức về javabeans , jsp , servlet , html , csharp .",0,1,False
Sv mất công lên trường mà chả được học gì.,0,1,True
Hiện tại không có góp ý.,1,3,True
"thầy wzjwz138 dạy thật sự tốt , không có góp ý gì thêm .",2,0,False
thầy dạy tận tình dễ hiểu .,2,0,False
"Bài giảng cuốn hút, thông tin mới mẻ và tính ứng dụng thực tế cao.",2,1,True
thầy vui tính và dạy rất nhiệt tình .,2,0,False
đề nghị cho nhiều bài kiểm tra hơn .,0,1,False
thầy giảng bài rất dễ hiểu .,2,0,False
"giảng viên rất nhiệt tình , thường xuyên trao đổi tài liệu qua website môn học .",2,0,False
Cách gv giảng bài và các hoạt động tổ chức trong giờ học.,1,0,True
"Môn này cần nhiều bài tập, bài lab thực tế hơn để sv vận dụng lý thuyết hiệu quả.",0,1,True
"cô tận tâm , nhiệt tình , giúp học sinh có kết quả tốt .",2,0,False
dạy muôn từ 15 - 20 phút so với giờ quy định dù lên lớp đúng giờ khiến cho việc sắp xếp những công việc sau giờ học của sinh viên gặp khó khăn .,0,0,False
Chương trình học overload (quá tải) làm sv ko có thời gian làm bài tập.,0,1,True
chấm quá gắt .,0,0,False
"giáo viên dạy rất tận tâm , nhiệt tình .",2,0,False
cám ơn thầy .,1,0,False
"mong cô thay đổi cách dạy cho hiệu quả hơn , để sinh viên yêu thương cô nhiều hơn .",0,0,False
cần cung cấp tài liệu bài giảng đầy đủ ngay từ những ngày đầu bắt đàu học .,0,1,False
"nên cập nhật giáo trình đầy đủ , nội dung môn học nên cải tiến , phần thực hành nên hiệu chỉnh để thống nhất với lý thuyết .",0,1,False
cần hướng dẫn nhiều hơn đối với đề tài và bài tập thực hành lập trình trên lớp code agent .,0,0,False
"giọng nói hơi khó nghe , ngoài ra không có gì không hài lòng .",0,0,False
em mong muốn sẽ cho sinh viên được thực hành nhiều hơn để có thể áp dụng những kiến thức trong học tập vào đời sống hằng ngày .,0,1,False
"giáo viên dạy hết sức nhiệt tình , tạo được động lực để học sinh học tập .",2,0,False
Em đã hiểu cấu trúc dữ liệu.,2,1,True
Thân.,1,3,True
"thầy không gửi tài liệu , thông báo lên moodle , thầy thường xuyên bận nên không đảm bảo giờ gặp sinh viên như đã thông báo .",0,0,False
"tích cực , nhiệt tình giảng dạy .",2,0,False
nhưng mà thầy hơi nghiêm khắc và khó tính .,0,0,False
chán lắm luôn .,0,3,False
Mong trường xếp lịch đừng để trùng giờ học của sv nữa ạ.,0,1,True
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1,False
Đồ án thực tế khó quá sức với sv.,0,1,True
"giảng viên dạy truyền cảm hứng , sử dụng thời gian hợp lý .",2,0,False
ra đề khó .,0,1,False
Gv có giọng nói chưa thực sự lôi cuốn.,1,0,True
"Các thông tin, tài liệu môn học được up lên hệ thống thông tin sv.",1,1,True
giảng rất tỉ mỉ và dễ hiểu .,2,0,False
"bài giảng của cô rất hay , tuy nhiên sinh viên không nắm được các phần quan trọng , và phủ đều lên toàn bộ bài giảng , do đó gây khó hiểu , mất tập trung , hoặc gây buồn ngủ .",0,1,False
"Phòng thực hành cần có wifi ổn định, sv ai cũng dùng laptop cá nhân mà mạng lại yếu.",0,2,True
"Môn này thiên về lý thuyết quá, ít thực hành nên hơi chán.",0,1,True
em học phân tích thiết kế cô wzjwz276 mà .,1,0,False
"slide bài giảng cứng nhắc , không trực quan , khó nắm bắt được nội dung bài học .",0,1,False
không có đủ ổ cắm điện sử dụng .,0,2,False
"giáo viên truyền đạt nội dung bài học rất hay , rất dễ hiểu và dễ tiếp thu .",2,0,False
ND học môn này cần được nâng cấp.,0,1,True
Tài liệu học với bài tập cần đầy đủ với chuẩn hơn ạ.,0,1,True
trong giờ học thầy cứ đi lên đi xuống và nói thao thao bất tuyệt .,0,0,False
"thầy dạy rất tốt , em cảm thấy dễ hiểu .",2,0,False
"nói khó nghe , dạy hơi nhanh .",0,0,False
"Phòng học hơi ọp ẹp, trời nóng như này nên trang bị thêm quạt 2 bên thì ok hơn.",0,2,True
"Phòng học môn mạng (wzjwz24) có wifi kém, truy cập mạng khó khăn.",0,2,True
"giảng viên dạy tận tình , cung cấp đầy đủ kiến thức cho sinh viên .",2,0,False
"thầy có dạy những kiến thức , kinh nghiệm có tính áp dụng lâu dài .",2,0,False
"cách giảng giải chi tiết , ví dụ dễ hiểu .",2,0,False
sử dụng khá nhiều thời gian trên lớp để nói về những điều khá căn bản .,0,0,False
"môn học cần tạo được định hướng cho sinh viên làm đồ án ngay từ đầu , gần cuối kỳ chúng em mới biết làm cái gì nên lúc đó chạy đồ án rất là cực và còn nhiều sai sót cho đồ án của mình .",0,1,False
Trường nên trang bị máy chiếu mới và sửa chữa mấy cái cũ.,0,2,True
giảng viên cần sử dụng thời gian trên lớp hiệu quả hơn .,0,0,False
"giảng viên hướng dẫn sinh viên nhiệt tình , giải đáp đầy đủ các thắc mắc .",2,0,False
Dù sao thì sv tụi em cũng bỏ tiền ra học đó ạ.,0,3,True
ra thêm những bài tập khó hoặc lạ giúp học sinh kiếm thêm điểm để tăng hứng thú môn học khuyến khích hoạt động phát biểu trong giờ học .,0,1,False
"thầy rất vui tính , giảng hay và kỹ .",2,0,False
tuân thủ đúng giờ học .,2,0,False
mặc dù giảng viên nói khá nhiều kiến thức trên lớp học nhưng số lượng sinh viên hiểu hết kiến thức cực kỳ ít .,0,0,False
nhiều phần trong slide bài giảng của giảng viên không chính xác .,0,0,False
"giảng viên dạy nhiệt tình , kiến thức truyền đạt cho sinh viên gần với thực tế cuộc sống , phản ánh đời sống xã hội , slide dễ hiểu , giảng viên hài hước .",2,0,False
"phần pl fraction sql , quản lý , phân quyền .",1,1,False
Không có chỗ sạc pin laptop/điện thoại trong phòng học.,0,2,True
Phòng học nóng quá trời.,0,2,True
"thầy cần quyết đoán hơn , chuẩn bị kỹ tài liệu và dạy nhanh , đủ hơn chút .",0,0,False
"sao không ghép vào phần lý thuyết luôn , giảng viên lý thuyết chỉ cần gửi tài liệu thực hành và chấm đồ án thực hành là xong .",0,0,False
hay giúp đỡ sinh viên .,2,0,False
em thích cách dạy của thầy .,2,0,False
"thiếu các thiết bị chạy hệ điều hành windows phone , ios , android cho sinh viên thực hành .",0,2,False
thầy dành nhiều thời gian để làm bài tập .,2,0,False
cách truyền đạt của giảng viên làm sinh viên khó tiếp thu .,0,0,False
Việc học nên đi đôi với hành.,1,1,True
giảng viên cần phải có phương pháp dạy hay hơn để sinh viên yếu có hứng thú đối với môn học .,0,0,False
bài giảng thiếu sự thu hút .,0,1,False
Hi vọng ý kiến của em sẽ được lưu tâm.,0,3,True
"giáo viên giảng dạy tốt , phát huy tốt khả năng nghe nói và đọc của sinh viên .",2,0,False
giảng viên dạy dễ hiểu nhiệt tình .,2,0,False
chu đáo và ân cần .,2,0,False
cần nêu rõ mối liên hệ giữa môn này với chuyên ngành đang theo học .,0,1,False
Các phòng thực hành mạng cần có gv túc trực để hỗ trợ sv.,0,2,True
"nhiệt tình , giảng bài dễ hiểu , dễ tiếp thu .",2,0,False
"thái độ , phong cách làm việc của thầy .",1,0,False
"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",2,0,False
tôi không có ý kiến .,1,3,False
lần sau nên chuyển sang trắc nghiệm hỏi được nhiều cái hơn .,0,1,False
Phòng học sát công trường ồn ào quá.,0,2,True
silde bằng tiếng việt .,1,1,False
em thấy vậy được rồi .,2,3,False
Gv thường đến muộn tầm 15 phút mỗi buổi.,1,0,True
"Môn này tiết thực hành ít quá, sv chưa kịp làm gì hết.",0,1,True
cần đặt câu hỏi cho sinh viên trong khi giảng dạy và thêm vào điểm cộng nếu sinh viên trả lời được .,0,0,False
nhưng nhiều lúc thầy quá khó tính .,0,0,False
Cách thầy cô truyền đạt bài.,1,0,True
GV thân thiện giúp tăng tương tác với sv.,1,0,True
"Chúc cô wzjwz2 năm mới vui vẻ, hạnh phúc ạ!",2,3,True
"Lý thuyết nhiều quá, nên có thêm hướng dẫn thực hành, giải bài tập.",0,1,True
giảng viên giảng dạy khó hiểu .,0,0,False
"cô vui vẻ , tận tâm , nhiệt tình giúp đỡ sinh viên .",2,0,False
"thầy tâm lý , dạy hay .",2,0,False
thầy rất quan tâm đến khó khăn gặp phải của sinh viên trong lúc thực hành .,2,0,False
"nội dung giảng dạy nửa đầu học kỳ khá mơ hồ như "" làm thế nào để thành công "" , "" thói quen người thành công "" hay là bàn về tương lai vdotv .",0,1,False
cho các bài tập lớn để sinh viên có thể làm việc nhóm .,0,1,False
"Thấy ổn thôi, không khen mà cũng chẳng chê.",1,3,True
"cô giảng dạy nhiệt tình , giúp sinh viên hiểu rõ kiến thức .",2,0,False
"Phòng máy cần được nâng cấp, máy chậm, chuột đơ, bàn phím rít, visual studio thì quá cũ (2005).",0,2,True
phù hợp với thực tiễn .,2,3,False
chưa có .,1,3,False
nâng cấp hệ thống mạng và máy tính .,0,2,False
"tận tình , cung cấp đầy đủ kiến thức , không khí vui vẻ , thoải mái .",2,0,False
"Nên cải tiến, đổi mới cách thực hành hình thức 2 đi ạ.",0,1,True
Môn này gv yêu cầu làm project cuối kỳ.,1,0,True
"Em thấy phòng máy cần được cải thiện, máy hơi chậm và cấu hình yếu.",0,2,True
giáo viên rất tận tình trong quá trình giảng dạy .,2,0,False
"nhiệt tình , giảng kỹ .",2,0,False
"Cơ sở vật chất phòng máy tệ quá, toàn chuột với bàn phím liệt.",0,2,True
em xim cám ơn !,1,3,False
giảng viên dạy tương đối dễ hiểu .,2,0,False
"Góp ý là tiến độ dạy cần linh hoạt hơn, phần dễ thì lướt qua nhanh, phần khó nên đi sâu hơn ạ.",0,1,True
em rất hài lòng thầy về mọi mặt .,2,0,False
"thầy giảng rất nhiệt tình , cặn kẽ .",2,0,False
cách dạy hay .,2,0,False
"tinh thần , kiến thức .",1,3,False
Cần xem lại hệ thống quạt vì dãy giữa vẫn nóng. Nên lắp thêm màn che cửa sổ và ổ cắm điện.,0,2,True
"Gv còn chia sẻ thêm kiến thức mới, rất hay dù không có trong giáo trình.",2,1,True
nhiệt tình trả lời thắc mắc của sinh viên .,2,0,False
Môn này nên tập trung nghe nói nhiều hơn thì hiệu quả hơn.,0,1,True
đủ những gì cần học không dài dòng .,2,1,False
"thầy giảng dễ hiểu , kiến thức thực hành phong phú lấy từ nhiều nguồn và dễ gần .",2,0,False
thầy rất tận tình và thân thiện .,2,0,False
"cô lắng nghe ý kiến của sinh viên , hướng dẫn nhẹ nhàng , tận tình !",2,0,False
nhìn không rõ .,0,2,False
môn học này khi ra trường có thể sẽ không ứng dụng nhiều .,0,1,False
"thầy rất nhiệt tình , giảng bài chi tiết , rất quan tâm đến sinh viên và nói rất nhẹ nhàng .",2,0,False
Cần hoàn thiện giáo trình thực hành.,1,1,True
em rất quý cô cũng như toàn thể các giảng viên trong trường nhưng em phải nói với thầy một điều chân thành rằng em cảm thấy việc điểm danh khi đi học là không hiệu quả .,0,0,False
nên cập nhật thêm nhiều chuẩn web mới như progressive web app hay amp có tác động tốt đến seo .,0,1,False
"Tài liệu môn học hơi ít, chỉ có slide bài giảng của gv thôi ạ.",0,1,True
Phần kết nối Prolog với C bọn em vẫn chưa nắm rõ lắm.,0,3,True
"rất nhiệt huyết , hay trao đổi và thảo luận và giúp đỡ sinh viên .",2,0,False
"Kiến thức môn học khó tiếp cận, nên đơn giản hóa và trực quan hơn.",0,1,True
nêu rõ mục đích cũng như ứng dụng của môn học ngay từ đầu .,0,0,False
cô tận tâm nhiệt tình giúp đỡ cho sinh viên .,2,0,False
nghỉ học quá nhiều .,0,0,False
"cuối kỳ , không cần ôn tập vẫn có thể nhớ rất nhiều kiến thức .",2,3,False
"phòng máy quá cũ , internet không có , nhỏ , máy cấu hình quá yếu .",0,2,False
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1,False
